
ABÍLIO SANTANA;204554;PL;BA;21359.49;4866.27;15074.14;4466.25;3766.25;3715.87;4386.94;3008.67
ABOU ANNI;204521;PSL;SP;1513.25;3933.97;4263.94;10697.65;9739.36;18834.36;15238.95;10415.99
ACÁCIO FAVACHO;204379;PROS;AP;14600.02;1715.46;3449.91;39373.38;3550.2;40723.05;14684.14;56766.78
ADOLFO VIANA;204560;PSDB;BA;13894.04;11924.41;13477.63;7550.51;9040.49;14486.95;13530.29;9441.23
ADRIANA VENTURA;204528;NOVO;SP;6661.68;7519.38;6689.84;7986.92;8049.59;6292.64;9287.68;8209.19
ADRIANO DO BALDY;121948;PP;GO;16713.35;24753.23;5948.61;5011.15;9803.77;6611.24;6134.83;5711.16
AÉCIO NEVES;74646;PSDB;MG;18459.3;23072.97;23823.03;24637.18;23412.51;25117.55;23074.2;28016.13
AFONSO FLORENCE;160508;PT;BA;14274.37;7308.04;4812.37;4601.83;4706.8;15779.77;13894.76;19921.84
AFONSO HAMM;136811;PP;RS;6411.48;6637.26;6989.49;6705.95;7927.34;6230.41;6640.27;3810.55
AFONSO MOTTA;178835;PDT;RS;7887.84;8384.67;8481.62;8395.03;8662.17;8253.28;8470.82;8107.68
AGUINALDO RIBEIRO;160527;PP;PB;2132.55;2448.63;2620.28;2758.61;2616.57;2790.77;2591.39;2489.03
AIRTON FALEIRO;204495;PT;PA;1095.75;2481.22;2525.79;1670.82;1358.54;1815.89;22805.12;44292.83
AJ ALBUQUERQUE;204549;PP;CE;19311.85;17532.68;3501.68;17659.73;3309.43;18335.05;38408.88;11525.7
ALAN RICK;178836;DEM;AC;24416.35;22958.38;25967.64;17778.05;16515.12;20589.79;23419.13;6812.58
ALCEU MOREIRA;160559;MDB;RS;10243.72;10266.2;10139.23;10349.44;9990.37;12144.46;9860.21;9550.77
ALCIDES RODRIGUES;204413;PATRIOTA;GO;9722.95;10964.24;21095.34;10822.98;12220.76;21523.62;8975.49;15814.98
ALÊ SILVA;204545;PSL;MG;6453.9;6133.2;6326.7;6111.4;6054.42;6355.28;5846.05;21177.64
ALENCAR SANTANA BRAGA;204501;PT;SP;7705.59;7087.55;6983.71;7241.96;7358.22;8705.25;6825.38;7125.26
ALESSANDRO MOLON;160511;PSB;RJ;11289.7;11824.34;12761.17;12422.41;12207.63;11994.0;12908.04;12208.99
ALEX MANENTE;178972;CIDADANIA;SP;13351.25;14238.13;34726.71;8840.49;68180.9;23992.14;6867.06;6355.87
ALEX SANTANA;204571;PDT;BA;13352.67;3525.26;3110.27;33927.37;5081.42;3462.28;13002.7;21824.35
ALEXANDRE FROTA;204544;PSDB;SP;14494.52;4315.8;10920.75;12256.05;16683.52;17774.64;16121.99;20977.53
ALEXANDRE LEITE;160545;DEM;SP;3286.1;3268.57;8718.02;8642.23;19629.01;22536.77;15396.66;18514.06
ALEXANDRE PADILHA;204503;PT;SP;16574.49;16022.35;26222.66;22670.49;19007.85;26708.29;24179.01;27486.48
ALEXANDRE SERFIOTIS;178833;PSD;RJ;2639.88;2546.6;2807.3;2497.15;2137.15;1960.36;2418.24;2322.05
ALEXIS FONTEYNE;204516;NOVO;SP;7312.67;6114.44;5380.2;6765.03;8645.73;9234.77;12787.8;15580.46
ALICE PORTUGAL;74057;PCdoB;BA;6772.98;6722.93;6295.84;6681.92;7088.97;6744.86;39166.25;6948.11
ALIEL MACHADO;178927;PSB;PR;7020.73;6842.27;7234.26;7324.75;7373.82;7285.91;6930.58;2352.12
ALINE GURGEL;204353;REPUBLICANOS;AP;42063.47;51053.86;52950.09;30085.29;33091.6;51926.02;21511.43;21863.14
ALINE SLEUTJES;204400;PSL;PR;17241.05;10716.38;17147.21;2980.51;24341.62;12919.54;19585.96;12370.03
ALTINEU CÔRTES;178937;PL;RJ;30456.66;20409.53;27966.63;25079.63;41259.46;38363.42;37530.75;28043.42
ALUISIO MENDES;178881;PSC;MA;6352.72;10716.1;7190.56;8595.51;7049.0;13988.32;11045.15;7519.45
AMARO NETO;204356;REPUBLICANOS;ES;2015.11;4466.43;15275.56;7320.07;5699.86;16690.58;8035.92;19768.02
ANDRÉ ABDON;178831;PP;AP;25355.67;21463.24;62921.76;26582.41;24679.27;23692.8;50878.8;30238.89
ANDRÉ DE PAULA;74471;PSD;PE;8152.38;8244.24;8395.73;8459.89;7966.72;13808.68;8058.35;8010.4
ANDRÉ FERREIRA;204423;PSC;PE;2670.37;5855.66;9615.25;16285.94;4342.07;14798.97;18198.18;7045.48
ANDRÉ FIGUEIREDO;133439;PDT;CE;16385.97;38477.39;28088.89;25988.47;28417.14;30248.34;25087.8;14011.63
ANDRÉ FUFUCA;178882;PP;MA;19349.32;23626.96;23241.54;22178.74;23889.82;19555.61;20872.52;7122.14
ANDRÉ JANONES;204515;AVANTE;MG;2661.88;2834.74;3026.16;2944.08;4149.32;4247.04;9315.45;11318.46
ANGELA AMIN;73696;PP;SC;19621.69;16070.3;7038.8;8912.5;5811.8;8061.7;11578.69;15517.46
ANTONIO BRITO;160553;PSD;BA;9378.08;9357.85;9616.79;9340.0;9524.42;9149.6;14830.43;11818.36
ARLINDO CHINAGLIA;73433;PT;SP;8661.65;5428.55;6597.78;6042.59;5483.8;6469.41;6191.65;6364.75
ARNALDO JARDIM;141391;CIDADANIA;SP;16333.6;16076.84;16031.56;3115.11;15829.88;2468.94;2956.26;15977.51
AROLDO MARTINS;204414;REPUBLICANOS;PR;13688.18;9083.66;14656.18;15065.81;14743.3;15234.37;10975.09;9967.8
ARTHUR LIRA;160541;PP;AL;1599.99;8477.45;21339.19;2351.66;22010.08;8265.5;26189.58;7695.26
ARTHUR OLIVEIRA MAIA;160600;DEM;BA;9537.44;15692.34;18775.95;12770.5;9439.07;10943.67;15923.77;15174.11
ASSIS CARVALHO;159237;PT;PI;9946.07;13675.69;12356.23;32817.86;26820.89;24170.05;28953.5;2221.4
ÁTILA LINS;74090;PP;AM;24044.58;65285.81;16487.88;78254.69;3811.23;41710.89;29210.9;2551.81
ÁTILA LIRA;74459;PP;PI;15968.96;14804.26;15630.67;11404.75;17120.06;25079.52;15759.57;16132.47
AUGUSTO COUTINHO;160665;SOLIDARIEDADE;PE;14282.17;15294.55;15154.74;15033.32;13927.1;14922.82;13100.19;13635.16
ÁUREA CAROLINA;204509;PSOL;MG;9292.69;2623.89;6037.7;14666.63;12893.93;12238.57;15573.35;32428.74
AUREO RIBEIRO;160512;SOLIDARIEDADE;RJ;15921.24;14167.34;8459.15;8436.19;7773.25;4543.41;7428.05;1357.8
BACELAR;69871;PODE;BA;18768.39;22133.48;26594.7;45861.01;24193.27;21072.04;9879.71;25144.27
BALEIA ROSSI;178975;MDB;SP;15205.22;15006.86;15636.22;16236.4;15091.91;13996.56;14046.05;13961.32
BENEDITA DA SILVA;73701;PT;RJ;7383.28;8281.29;12718.62;14491.87;10916.56;10524.89;10889.56;12182.57
BENES LEOCÁDIO;109429;REPUBLICANOS;RN;7944.94;8105.88;7750.04;7565.83;7938.4;8033.62;8220.8;8249.74
BETO FARO;141335;PT;PA;36524.47;41640.77;50076.7;33151.3;33267.16;30977.66;44846.88;24764.71
BETO PEREIRA;204358;PSDB;MS;18549.3;16503.53;10880.63;15356.58;9931.69;8419.26;24993.58;34325.04
BETO ROSADO;178948;PP;RN;16280.85;18404.81;17980.6;17782.79;19416.56;10600.2;18724.24;8103.21
BIA CAVASSA;207176;PSDB;MS;12584.15;13046.58;5268.07;3654.3;3652.9;3581.07;3743.6;3273.23
